latitude,longitude,zero,year,intensity,error
-90,-26,0,2017,54830.5,152
-90,-25,0,2017,54830.5,152
-90,-24,0,2017,54830.5,152
-90,-23,0,2017,54830.5,152
-90,-22,0,2017,54830.5,152
-90,-21,0,2017,54830.5,152
-90,-20,0,2017,54830.5,152
-90,-19,0,2017,54830.5,152
-90,-18,0,2017,54830.5,152
-90,-17,0,2017,54830.5,152
-90,-16,0,2017,54830.5,152
-90,-15,0,2017,54830.5,152
-90,-14,0,2017,54830.5,152
-90,-13,0,2017,54830.5,152
-90,-12,0,2017,54830.5,152
-90,-11,0,2017,54830.5,152
-90,-10,0,2017,54830.5,152
-90,-9,0,2017,54830.5,152
-90,-8,0,2017,54830.5,152
-90,-7,0,2017,54830.5,152
-90,-6,0,2017,54830.5,152
-90,-5,0,2017,54830.5,152
-90,-4,0,2017,54830.5,152
-90,-3,0,2017,54830.5,152
-90,-2,0,2017,54830.5,152
-90,-1,0,2017,54830.5,152
-90,0,0,2017,54830.5,152
-90,1,0,2017,54830.5,152
-90,2,0,2017,54830.5,152
-90,3,0,2017,54830.5,152
-90,4,0,2017,54830.5,152
-90,5,0,2017,54830.5,152
-90,6,0,2017,54830.5,152
-90,7,0,2017,54830.5,152
-90,8,0,2017,54830.5,152
-90,9,0,2017,54830.5,152
-90,10,0,2017,54830.5,152
-90,11,0,2017,54830.5,152
-90,12,0,2017,54830.5,152
-90,13,0,2017,54830.5,152
-90,14,0,2017,54830.5,152
-90,15,0,2017,54830.5,152
-90,16,0,2017,54830.5,152
-90,17,0,2017,54830.5,152
-90,18,0,2017,54830.5,152
-90,19,0,2017,54830.5,152
-90,20,0,2017,54830.5,152
-90,21,0,2017,54830.5,152
-90,22,0,2017,54830.5,152
-90,23,0,2017,54830.5,152
-90,24,0,2017,54830.5,152
-90,25,0,2017,54830.5,152
-90,26,0,2017,54830.5,152
-90,27,0,2017,54830.5,152
-90,28,0,2017,54830.5,152
-90,29,0,2017,54830.5,152
-90,30,0,2017,54830.5,152
-90,31,0,2017,54830.5,152
-90,32,0,2017,54830.5,152
-90,33,0,2017,54830.5,152
-90,34,0,2017,54830.5,152
-90,35,0,2017,54830.5,152
-90,36,0,2017,54830.5,152
-90,37,0,2017,54830.5,152
-90,38,0,2017,54830.5,152
-90,39,0,2017,54830.5,152
-90,40,0,2017,54830.5,152
-90,41,0,2017,54830.5,152
-90,42,0,2017,54830.5,152
-90,43,0,2017,54830.5,152
-90,44,0,2017,54830.5,152
-90,45,0,2017,54830.5,152
-90,46,0,2017,54830.5,152
-90,47,0,2017,54830.5,152
-90,48,0,2017,54830.5,152
-90,49,0,2017,54830.5,152
-90,50,0,2017,54830.5,152
-90,51,0,2017,54830.5,152
-90,52,0,2017,54830.5,152
-90,53,0,2017,54830.5,152
-90,54,0,2017,54830.5,152
-90,55,0,2017,54830.5,152
-90,56,0,2017,54830.5,152
-90,57,0,2017,54830.5,152
-90,58,0,2017,54830.5,152
-90,59,0,2017,54830.5,152
-90,60,0,2017,54830.5,152
-90,61,0,2017,54830.5,152
-90,62,0,2017,54830.5,152
-90,63,0,2017,54830.5,152
-90,64,0,2017,54830.5,152
-90,65,0,2017,54830.5,152
-90,66,0,2017,54830.5,152
-90,67,0,2017,54830.5,152
-90,68,0,2017,54830.5,152
-90,69,0,2017,54830.5,152
-90,70,0,2017,54830.5,152
-90,71,0,2017,54830.5,152
-90,72,0,2017,54830.5,152
-90,73,0,2017,54830.5,152
-90,74,0,2017,54830.5,152
-90,75,0,2017,54830.5,152
-90,76,0,2017,54830.5,152
-90,77,0,2017,54830.5,152
-90,78,0,2017,54830.5,152
-90,79,0,2017,54830.5,152
-90,80,0,2017,54830.5,152
-90,81,0,2017,54830.5,152
-90,82,0,2017,54830.5,152
-90,83,0,2017,54830.5,152
-90,84,0,2017,54830.5,152
-90,85,0,2017,54830.5,152
-90,86,0,2017,54830.5,152
-90,87,0,2017,54830.5,152
-90,88,0,2017,54830.5,152
-90,89,0,2017,54830.5,152
-90,90,0,2017,54830.5,152
-90,91,0,2017,54830.5,152
-90,92,0,2017,54830.5,152
-90,93,0,2017,54830.5,152
-90,94,0,2017,54830.5,152
-90,95,0,2017,54830.5,152
-90,96,0,2017,54830.5,152
-90,97,0,2017,54830.5,152
-90,98,0,2017,54830.5,152
-90,99,0,2017,54830.5,152
-90,100,0,2017,54830.5,152
-90,101,0,2017,54830.5,152
-90,102,0,2017,54830.5,152
-90,103,0,2017,54830.5,152
-90,104,0,2017,54830.5,152
-90,105,0,2017,54830.5,152
-90,106,0,2017,54830.5,152
-90,107,0,2017,54830.5,152
-90,108,0,2017,54830.5,152
-90,109,0,2017,54830.5,152
-90,110,0,2017,54830.5,152
-90,111,0,2017,54830.5,152
-90,112,0,2017,54830.5,152
-90,113,0,2017,54830.5,152
-90,114,0,2017,54830.5,152
-90,115,0,2017,54830.5,152
-90,116,0,2017,54830.5,152
-90,117,0,2017,54830.5,152
-90,118,0,2017,54830.5,152
-90,119,0,2017,54830.5,152
-90,120,0,2017,54830.5,152
-90,121,0,2017,54830.5,152
-90,122,0,2017,54830.5,152
-90,123,0,2017,54830.5,152
-90,124,0,2017,54830.5,152
-90,125,0,2017,54830.5,152
-90,126,0,2017,54830.5,152
-90,127,0,2017,54830.5,152
-90,128,0,2017,54830.5,152
-90,129,0,2017,54830.5,152
-90,130,0,2017,54830.5,152
-90,131,0,2017,54830.5,152
-90,132,0,2017,54830.5,152
-90,133,0,2017,54830.5,152
-90,134,0,2017,54830.5,152
-90,135,0,2017,54830.5,152
-90,136,0,2017,54830.5,152
-90,137,0,2017,54830.5,152
-90,138,0,2017,54830.5,152
-90,139,0,2017,54830.5,152
-90,140,0,2017,54830.5,152
-90,141,0,2017,54830.5,152
-90,142,0,2017,54830.5,152
-90,143,0,2017,54830.5,152
-90,144,0,2017,54830.5,152
-90,145,0,2017,54830.5,152
-90,146,0,2017,54830.5,152
-90,147,0,2017,54830.5,152
-90,148,0,2017,54830.5,152
-90,149,0,2017,54830.5,152
-90,150,0,2017,54830.5,152
-90,151,0,2017,54830.5,152
-90,152,0,2017,54830.5,152
-90,153,0,2017,54830.5,152
-90,154,0,2017,54830.5,152
-90,155,0,2017,54830.5,152
-90,156,0,2017,54830.5,152
-90,157,0,2017,54830.5,152
-90,158,0,2017,54830.5,152
-90,159,0,2017,54830.5,152
-90,160,0,2017,54830.5,152
-90,161,0,2017,54830.5,152
-90,162,0,2017,54830.5,152
-90,163,0,2017,54830.5,152
-90,164,0,2017,54830.5,152
-90,165,0,2017,54830.5,152
-90,166,0,2017,54830.5,152
-90,167,0,2017,54830.5,152
-90,168,0,2017,54830.5,152
-90,169,0,2017,54830.5,152
-90,170,0,2017,54830.5,152
-90,171,0,2017,54830.5,152
-90,172,0,2017,54830.5,152
-90,173,0,2017,54830.5,152
-90,174,0,2017,54830.5,152
-90,175,0,2017,54830.5,152
-90,176,0,2017,54830.5,152
-90,177,0,2017,54830.5,152
-90,178,0,2017,54830.5,152
-90,179,0,2017,54830.5,152
-90,180,0,2017,54830.5,152
-89,-180,0,2017,55567.01,152
-89,-179,0,2017,55562.62,152
-89,-178,0,2017,55558.01,152
-89,-177,0,2017,55553.18,152
-89,-176,0,2017,55548.12,152
-89,-175,0,2017,55542.85,152
-89,-174,0,2017,55537.37,152
-89,-173,0,2017,55531.66,152
-89,-172,0,2017,55525.75,152
-89,-171,0,2017,55519.62,152
-89,-170,0,2017,55513.29,152
-89,-169,0,2017,55506.75,152
-89,-168,0,2017,55500,152
-89,-167,0,2017,55493.05,152
-89,-166,0,2017,55485.9,152
-89,-165,0,2017,55478.55,152
-89,-164,0,2017,55471,152
-89,-163,0,2017,55463.27,152
-89,-162,0,2017,55455.33,152
-89,-161,0,2017,55447.22,152
-89,-160,0,2017,55438.91,152
-89,-159,0,2017,55430.42,152
-89,-158,0,2017,55421.75,152
-89,-157,0,2017,55412.9,152
-89,-156,0,2017,55403.87,152
-89,-155,0,2017,55394.67,152
-89,-154,0,2017,55385.3,152
-89,-153,0,2017,55375.76,152
-89,-152,0,2017,55366.06,152
-89,-151,0,2017,55356.19,152
-89,-150,0,2017,55346.17,152
-89,-149,0,2017,55335.99,152
-89,-148,0,2017,55325.65,152
-89,-147,0,2017,55315.17,152
-89,-146,0,2017,55304.54,152
-89,-145,0,2017,55293.77,152
-89,-144,0,2017,55282.86,152
-89,-143,0,2017,55271.81,152
-89,-142,0,2017,55260.62,152
-89,-141,0,2017,55249.31,152
-89,-140,0,2017,55237.87,152
-89,-139,0,2017,55226.31,152
-89,-138,0,2017,55214.62,152
-89,-137,0,2017,55202.82,152
-89,-136,0,2017,55190.91,152
-89,-135,0,2017,55178.89,152
-89,-134,0,2017,55166.76,152
-89,-133,0,2017,55154.52,152
-89,-132,0,2017,55142.19,152
-89,-131,0,2017,55129.77,152
-89,-130,0,2017,55117.25,152
-89,-129,0,2017,55104.65,152
-89,-128,0,2017,55091.96,152
-89,-127,0,2017,55079.19,152
-89,-126,0,2017,55066.35,152
-89,-125,0,2017,55053.43,152
-89,-124,0,2017,55040.45,152
-89,-123,0,2017,55027.39,152
-89,-122,0,2017,55014.28,152
-89,-121,0,2017,55001.11,152
-89,-120,0,2017,54987.89,152
-89,-119,0,2017,54974.62,152
-89,-118,0,2017,54961.3,152
-89,-117,0,2017,54947.94,152
-89,-116,0,2017,54934.54,152
-89,-115,0,2017,54921.11,152
-89,-114,0,2017,54907.65,152
-89,-113,0,2017,54894.17,152
-89,-112,0,2017,54880.66,152
-89,-111,0,2017,54867.13,152
-89,-110,0,2017,54853.59,152
-89,-109,0,2017,54840.05,152
